symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
XRP/USDT,0.07,False,True,False,55.0,95.0,1.0,0.04,0.07,24,7.18,0.92,-0.0606,-6.06,64.52,1.65,93,0.7822,3,3,100.0,100.0,100.0,1.447,1.283,2.15,-2.843,39,79.75,62.54,"{""365"": {""score"": 79.75, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 93, ""total_return_pct"": 7.18, ""max_drawdown_pct"": -6.06}, ""1095"": {""score"": 56.91, ""wf_positive_pct"": 71.43, ""wf_sharpe_positive_pct"": 71.43, ""wf_pf_above_1_pct"": 64.29, ""total_trades"": 349, ""total_return_pct"": -19.68, ""max_drawdown_pct"": -30.7}, ""1825"": {""score"": 59.03, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 57.69, ""total_trades"": 742, ""total_return_pct"": -29.56, ""max_drawdown_pct"": -37.69}}",62.54
XRP/USDT,0.08,True,True,False,55.0,85.0,0.8,0.04,0.07,36,8.82,1.29,-0.0503,-5.03,73.21,2.18,56,1.3282,3,3,100.0,100.0,100.0,1.613,1.973,2.973,-1.48,23,82.9,62.51,"{""365"": {""score"": 82.9, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 56, ""total_return_pct"": 8.82, ""max_drawdown_pct"": -5.03}, ""1095"": {""score"": 51.94, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 260, ""total_return_pct"": -15.98, ""max_drawdown_pct"": -31.07}, ""1825"": {""score"": 60.7, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 610, ""total_return_pct"": -16.93, ""max_drawdown_pct"": -31.07}}",62.51
XRP/USDT,0.08,False,True,False,55.0,95.0,0.8,0.04,0.05,36,7.75,1.05,-0.063,-6.3,63.1,1.65,84,0.8556,3,3,100.0,100.0,100.0,1.63,1.477,2.163,-2.467,36,80.74,62.21,"{""365"": {""score"": 80.74, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 84, ""total_return_pct"": 7.75, ""max_drawdown_pct"": -6.3}, ""1095"": {""score"": 53.31, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 371, ""total_return_pct"": -13.39, ""max_drawdown_pct"": -31.12}, ""1825"": {""score"": 60.13, ""wf_positive_pct"": 65.38, ""wf_sharpe_positive_pct"": 65.38, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 837, ""total_return_pct"": -9.61, ""max_drawdown_pct"": -31.12}}",62.21
XRP/USDT,0.03,False,False,True,55.0,95.0,0.8,0.04,0.05,24,4.81,0.74,-0.0533,-5.33,57.14,1.4,105,0.4692,3,3,100.0,100.0,100.0,2.073,1.687,2.487,-2.703,63,78.48,62.13,"{""365"": {""score"": 78.48, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 105, ""total_return_pct"": 4.81, ""max_drawdown_pct"": -5.33}, ""1095"": {""score"": 50.06, ""wf_positive_pct"": 71.43, ""wf_sharpe_positive_pct"": 71.43, ""wf_pf_above_1_pct"": 64.29, ""total_trades"": 271, ""total_return_pct"": 7.53, ""max_drawdown_pct"": -6.69}, ""1825"": {""score"": 62.84, ""wf_positive_pct"": 57.69, ""wf_sharpe_positive_pct"": 57.69, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 655, ""total_return_pct"": 11.74, ""max_drawdown_pct"": -12.62}}",62.13
XRP/USDT,0.08,False,True,False,55.0,95.0,1.0,0.03,0.07,36,7.68,1.22,-0.0463,-4.63,77.61,2.04,67,1.0403,3,3,100.0,100.0,100.0,1.057,1.147,7.36,-2.09,27,82.52,61.33,"{""365"": {""score"": 82.52, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 67, ""total_return_pct"": 7.68, ""max_drawdown_pct"": -4.63}, ""1095"": {""score"": 54.17, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 300, ""total_return_pct"": -16.86, ""max_drawdown_pct"": -24.87}, ""1825"": {""score"": 57.15, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 657, ""total_return_pct"": -20.9, ""max_drawdown_pct"": -30.17}}",61.33
XRP/USDT,0.08,True,True,False,65.0,95.0,1.0,0.04,0.07,36,7.06,1.06,-0.0429,-4.29,71.43,1.97,56,1.147,3,3,100.0,100.0,100.0,1.197,1.17,2.593,-2.13,24,81.04,61.25,"{""365"": {""score"": 81.04, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 56, ""total_return_pct"": 7.06, ""max_drawdown_pct"": -4.29}, ""1095"": {""score"": 56.63, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 233, ""total_return_pct"": -6.68, ""max_drawdown_pct"": -23.52}, ""1825"": {""score"": 56.11, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 34.62, ""total_trades"": 504, ""total_return_pct"": -13.7, ""max_drawdown_pct"": -27.07}}",61.25
XRP/USDT,0.08,True,True,False,60.0,90.0,0.8,0.04,0.06,36,8.12,1.18,-0.0466,-4.66,69.84,1.96,63,1.1373,3,3,66.67,66.67,66.67,1.343,1.413,2.877,-2.02,28,69.44,61.22,"{""365"": {""score"": 69.44, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 63, ""total_return_pct"": 8.12, ""max_drawdown_pct"": -4.66}, ""1095"": {""score"": 55.88, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 282, ""total_return_pct"": -11.71, ""max_drawdown_pct"": -28.4}, ""1825"": {""score"": 61.14, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 663, ""total_return_pct"": -22.33, ""max_drawdown_pct"": -31.85}}",61.22
XRP/USDT,0.08,True,True,False,60.0,90.0,1.0,0.04,0.07,36,7.3,1.16,-0.0429,-4.29,71.7,2.07,53,1.1987,3,3,100.0,100.0,100.0,1.41,1.75,3.303,-1.58,22,81.9,61.1,"{""365"": {""score"": 81.9, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 53, ""total_return_pct"": 7.3, ""max_drawdown_pct"": -4.29}, ""1095"": {""score"": 52.33, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 240, ""total_return_pct"": -13.27, ""max_drawdown_pct"": -28.76}, ""1825"": {""score"": 58.04, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 42.31, ""total_trades"": 530, ""total_return_pct"": -21.73, ""max_drawdown_pct"": -31.75}}",61.1
XRP/USDT,0.08,True,False,False,60.0,90.0,0.8,0.04,0.05,36,5.5,0.79,-0.0569,-5.69,61.33,1.49,75,0.7005,3,3,66.67,66.67,66.67,1.067,1.133,2.19,-2.393,33,65.79,61.04,"{""365"": {""score"": 65.79, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 75, ""total_return_pct"": 5.5, ""max_drawdown_pct"": -5.69}, ""1095"": {""score"": 55.39, ""wf_positive_pct"": 64.29, ""wf_sharpe_positive_pct"": 64.29, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 361, ""total_return_pct"": -7.83, ""max_drawdown_pct"": -26.98}, ""1825"": {""score"": 62.53, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 824, ""total_return_pct"": -18.87, ""max_drawdown_pct"": -27.78}}",61.04
XRP/USDT,0.08,True,True,False,55.0,85.0,0.8,0.03,0.05,36,5.46,0.94,-0.059,-5.9,71.21,1.65,66,0.7563,3,3,100.0,100.0,100.0,1.433,2.32,3.48,-1.14,24,79.63,60.93,"{""365"": {""score"": 79.63, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 66, ""total_return_pct"": 5.46, ""max_drawdown_pct"": -5.9}, ""1095"": {""score"": 47.5, ""wf_positive_pct"": 46.15, ""wf_sharpe_positive_pct"": 46.15, ""wf_pf_above_1_pct"": 30.77, ""total_trades"": 299, ""total_return_pct"": -15.58, ""max_drawdown_pct"": -27.75}, ""1825"": {""score"": 61.51, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 718, ""total_return_pct"": -19.95, ""max_drawdown_pct"": -27.75}}",60.93
XRP/USDT,0.08,True,False,False,60.0,90.0,0.8,0.03,0.05,36,5.08,0.79,-0.0587,-5.87,69.05,1.52,84,0.6444,3,3,66.67,66.67,66.67,0.71,0.84,1.897,-2.223,35,63.79,60.87,"{""365"": {""score"": 63.79, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 84, ""total_return_pct"": 5.08, ""max_drawdown_pct"": -5.87}, ""1095"": {""score"": 58.57, ""wf_positive_pct"": 71.43, ""wf_sharpe_positive_pct"": 71.43, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 398, ""total_return_pct"": -8.87, ""max_drawdown_pct"": -26.95}, ""1825"": {""score"": 61.08, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 901, ""total_return_pct"": -22.76, ""max_drawdown_pct"": -32.97}}",60.87
XRP/USDT,0.07,True,True,False,55.0,85.0,1.0,0.04,0.07,24,4.13,0.64,-0.063,-6.3,60.27,1.37,73,0.5331,3,3,100.0,100.0,100.0,0.987,1.093,1.65,-2.03,33,69.91,60.62,"{""365"": {""score"": 69.91, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 73, ""total_return_pct"": 4.13, ""max_drawdown_pct"": -6.3}, ""1095"": {""score"": 56.29, ""wf_positive_pct"": 71.43, ""wf_sharpe_positive_pct"": 71.43, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 270, ""total_return_pct"": -19.21, ""max_drawdown_pct"": -29.4}, ""1825"": {""score"": 59.51, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 57.69, ""total_trades"": 601, ""total_return_pct"": -28.71, ""max_drawdown_pct"": -34.92}}",60.62
XRP/USDT,0.08,False,True,False,55.0,95.0,1.0,0.04,0.07,36,8.27,1.16,-0.0444,-4.44,69.23,2.04,65,1.15,3,3,100.0,100.0,100.0,1.343,1.31,2.79,-2.327,27,82.01,60.26,"{""365"": {""score"": 82.01, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 65, ""total_return_pct"": 8.27, ""max_drawdown_pct"": -4.44}, ""1095"": {""score"": 52.88, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 290, ""total_return_pct"": -17.16, ""max_drawdown_pct"": -29.02}, ""1825"": {""score"": 55.99, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 623, ""total_return_pct"": -22.71, ""max_drawdown_pct"": -32.79}}",60.26
XRP/USDT,0.08,True,True,False,60.0,90.0,0.8,0.02,0.07,36,5.49,0.93,-0.0483,-4.83,81.94,1.9,72,0.7059,3,3,100.0,100.0,100.0,1.083,1.507,8.533,-1.44,29,79.92,60.21,"{""365"": {""score"": 79.92, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 72, ""total_return_pct"": 5.49, ""max_drawdown_pct"": -4.83}, ""1095"": {""score"": 51.64, ""wf_positive_pct"": 53.85, ""wf_sharpe_positive_pct"": 53.85, ""wf_pf_above_1_pct"": 15.38, ""total_trades"": 306, ""total_return_pct"": -13.54, ""max_drawdown_pct"": -23.74}, ""1825"": {""score"": 57.46, ""wf_positive_pct"": 65.38, ""wf_sharpe_positive_pct"": 65.38, ""wf_pf_above_1_pct"": 34.62, ""total_trades"": 730, ""total_return_pct"": -22.88, ""max_drawdown_pct"": -31.23}}",60.21
XRP/USDT,0.08,True,True,False,55.0,85.0,1.0,0.03,0.07,36,5.3,1.04,-0.0462,-4.62,77.55,1.88,49,0.9713,3,3,100.0,100.0,100.0,1.13,2.237,12.94,-1.07,19,80.68,60.09,"{""365"": {""score"": 80.68, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 49, ""total_return_pct"": 5.3, ""max_drawdown_pct"": -4.62}, ""1095"": {""score"": 50.08, ""wf_positive_pct"": 53.85, ""wf_sharpe_positive_pct"": 53.85, ""wf_pf_above_1_pct"": 30.77, ""total_trades"": 227, ""total_return_pct"": -15.75, ""max_drawdown_pct"": -25.77}, ""1825"": {""score"": 57.86, ""wf_positive_pct"": 65.38, ""wf_sharpe_positive_pct"": 65.38, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 525, ""total_return_pct"": -18.88, ""max_drawdown_pct"": -26.97}}",60.09
