symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
SUI/USDT,0.05,True,False,False,55.0,85.0,0.8,0.03,0.04,24,0.95,0.14,-0.128,-12.8,60.53,1.11,375,0.1611,3,3,100.0,100.0,100.0,1.907,1.113,1.367,-4.223,143,61.7,37.88,"{""365"": {""score"": 61.7, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 375, ""total_return_pct"": 0.95, ""max_drawdown_pct"": -12.8}, ""1095"": {""score"": 31.92, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1542, ""total_return_pct"": -29.96, ""max_drawdown_pct"": -39.4}, ""1825"": {""score"": 31.92, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1542, ""total_return_pct"": -29.96, ""max_drawdown_pct"": -39.4}}",37.88
SUI/USDT,0.03,True,False,True,55.0,85.0,0.8,0.02,0.04,24,-1.64,-0.21,-0.0705,-7.05,65.88,1.05,170,0.0573,3,3,100.0,100.0,100.0,0.77,0.653,1.32,-2.477,89,58.55,37.08,"{""365"": {""score"": 58.55, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 170, ""total_return_pct"": -1.64, ""max_drawdown_pct"": -7.05}, ""1095"": {""score"": 31.71, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 577, ""total_return_pct"": -17.17, ""max_drawdown_pct"": -20.68}, ""1825"": {""score"": 31.71, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 577, ""total_return_pct"": -17.17, ""max_drawdown_pct"": -20.68}}",37.08
SUI/USDT,0.07,True,False,False,55.0,85.0,0.8,0.03,0.04,24,-1.83,-0.13,-0.1696,-16.96,59.11,1.04,247,0.0641,3,3,100.0,100.0,100.0,1.847,1.42,1.493,-3.783,91,60.2,35.88,"{""365"": {""score"": 60.2, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 247, ""total_return_pct"": -1.83, ""max_drawdown_pct"": -16.96}, ""1095"": {""score"": 29.8, ""wf_positive_pct"": 21.43, ""wf_sharpe_positive_pct"": 21.43, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1122, ""total_return_pct"": -25.28, ""max_drawdown_pct"": -32.45}, ""1825"": {""score"": 29.8, ""wf_positive_pct"": 21.43, ""wf_sharpe_positive_pct"": 21.43, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1122, ""total_return_pct"": -25.28, ""max_drawdown_pct"": -32.45}}",35.88
SUI/USDT,0.04,True,False,False,55.0,85.0,0.8,0.03,0.04,24,-4.17,-0.22,-0.1615,-16.15,59.2,1.05,473,0.0756,3,3,66.67,66.67,100.0,1.213,0.67,1.243,-4.72,179,45.59,35.87,"{""365"": {""score"": 45.59, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 473, ""total_return_pct"": -4.17, ""max_drawdown_pct"": -16.15}, ""1095"": {""score"": 33.44, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 1813, ""total_return_pct"": -28.61, ""max_drawdown_pct"": -36.53}, ""1825"": {""score"": 33.44, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 1813, ""total_return_pct"": -28.61, ""max_drawdown_pct"": -36.53}}",35.87
SUI/USDT,0.06,True,False,False,55.0,85.0,0.8,0.04,0.06,36,-8.54,-0.56,-0.2113,-21.13,54.32,0.91,243,-0.1873,3,3,66.67,66.67,66.67,2.853,1.537,1.527,-5.323,97,47.0,35.2,"{""365"": {""score"": 47.0, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 243, ""total_return_pct"": -8.54, ""max_drawdown_pct"": -21.13}, ""1095"": {""score"": 32.25, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1003, ""total_return_pct"": -14.44, ""max_drawdown_pct"": -30.71}, ""1825"": {""score"": 32.25, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1003, ""total_return_pct"": -14.44, ""max_drawdown_pct"": -30.71}}",35.2
SUI/USDT,0.07,True,False,True,55.0,85.0,0.8,0.02,0.04,24,-1.25,-0.32,-0.0415,-4.15,65.91,0.96,44,-0.049,3,3,100.0,100.0,100.0,0.423,0.617,1.497,-1.307,30,61.33,34.87,"{""365"": {""score"": 61.33, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 44, ""total_return_pct"": -1.25, ""max_drawdown_pct"": -4.15}, ""1095"": {""score"": 28.26, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 211, ""total_return_pct"": -11.92, ""max_drawdown_pct"": -16.66}, ""1825"": {""score"": 28.26, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 211, ""total_return_pct"": -11.92, ""max_drawdown_pct"": -16.66}}",34.87
SUI/USDT,0.04,True,False,True,55.0,85.0,0.8,0.02,0.04,24,-0.46,-0.05,-0.0516,-5.16,66.94,1.09,124,0.1038,3,3,66.67,66.67,66.67,0.817,0.787,1.457,-2.48,73,48.58,33.21,"{""365"": {""score"": 48.58, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 124, ""total_return_pct"": -0.46, ""max_drawdown_pct"": -5.16}, ""1095"": {""score"": 29.37, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 430, ""total_return_pct"": -18.69, ""max_drawdown_pct"": -22.46}, ""1825"": {""score"": 29.37, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 430, ""total_return_pct"": -18.69, ""max_drawdown_pct"": -22.46}}",33.21
SUI/USDT,0.07,True,False,False,60.0,90.0,0.8,0.03,0.06,12,-11.42,-1.14,-0.2227,-22.27,55.1,0.84,245,-0.2522,3,3,66.67,66.67,66.67,0.42,0.76,1.573,-3.737,94,47.62,32.94,"{""365"": {""score"": 47.62, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 245, ""total_return_pct"": -11.42, ""max_drawdown_pct"": -22.27}, ""1095"": {""score"": 29.27, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 984, ""total_return_pct"": -28.09, ""max_drawdown_pct"": -34.21}, ""1825"": {""score"": 29.27, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 984, ""total_return_pct"": -28.09, ""max_drawdown_pct"": -34.21}}",32.94
SUI/USDT,0.03,True,True,False,55.0,85.0,0.8,0.03,0.07,12,-9.72,-0.69,-0.1613,-16.13,56.38,0.95,470,-0.0579,3,3,100.0,100.0,100.0,0.993,0.607,1.23,-4.077,184,57.96,32.34,"{""365"": {""score"": 57.96, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 470, ""total_return_pct"": -9.72, ""max_drawdown_pct"": -16.13}, ""1095"": {""score"": 25.94, ""wf_positive_pct"": 28.57, ""wf_sharpe_positive_pct"": 28.57, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1611, ""total_return_pct"": -26.14, ""max_drawdown_pct"": -35.91}, ""1825"": {""score"": 25.94, ""wf_positive_pct"": 28.57, ""wf_sharpe_positive_pct"": 28.57, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1611, ""total_return_pct"": -26.13, ""max_drawdown_pct"": -35.91}}",32.34
SUI/USDT,0.07,False,False,True,55.0,95.0,0.8,0.03,0.04,36,0.95,0.23,-0.041,-4.1,62.75,1.25,51,0.337,3,3,100.0,100.0,100.0,0.663,0.82,1.553,-1.777,36,64.62,32.04,"{""365"": {""score"": 64.62, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 51, ""total_return_pct"": 0.95, ""max_drawdown_pct"": -4.1}, ""1095"": {""score"": 23.9, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 21.43, ""total_trades"": 221, ""total_return_pct"": -18.53, ""max_drawdown_pct"": -22.96}, ""1825"": {""score"": 23.9, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 21.43, ""total_trades"": 221, ""total_return_pct"": -18.53, ""max_drawdown_pct"": -22.96}}",32.04
